Title,Color,Genre,Language,Country,Rating,Lead Actor,DirectorName,LeadActorFBLikes,CastFBLikes,DirectorFBLikes,MovieFBLikes,IMDbScore,TotalReviews,Duration,GrossRevenue,Budget,NetProfit,ReleaseYear,ReleaseMonth
Silverado,Color,Action,English,USA,PG-13,Scott Glenn,Lawrence Kasdan,826,1154,759,0,7.2,46,133,33200000,26000000,7200000,1985,12
The Color Purple,Color,Drama,English,USA,PG-13,Oprah Winfrey,Steven Spielberg,852,2592,14000,6000,7.8,70,154,94175854,15000000,79175854,1985,7
The Last Dragon,Color,Action,English,USA,PG-13,Mike Starr,Michael Schultz,854,3394,78,0,6.9,55,109,33000000,10000000,23000000,1985,7
Witness,Color,Crime,English,USA,R,Harrison Ford,Peter Weir,11000,22479,608,0,7.4,83,112,65500000,12000000,53500000,1985,1
Young Sherlock Holmes,Color,Adventure,English,USA,PG-13,Nicholas Rowe,Barry Levinson,155,605,272,0,6.8,64,109,4250320,18000000,-13749680,1985,5
9½ Weeks,Color,Drama,English,USA,R,David Margulies,Adrian Lyne,567,711,213,0,5.9,38,112,6734844,17000000,-10265156,1986,3
Aliens,Color,Action,English,USA,R,Michael Biehn,James Cameron,2000,4228,0,18000,8.4,250,154,85200000,18500000,66700000,1986,7
April Fool's Day,Color,Horror,English,USA,R,Thomas F. Wilson,Fred Walton,690,1160,17,0,6.2,96,89,12947763,5000000,7947763,1986,9
Big Trouble in Little China,Color,Action,English,USA,PG-13,Victor Wong,John Carpenter,400,896,0,19000,7.3,180,99,11100000,25000000,-13900000,1986,5
Crocodile Dundee,Color,Adventure,English,Australia,PG-13,Paul Hogan,Peter Faiman,442,822,4,0,6.5,35,93,174635000,8800000,165835000,1986,10
Highlander,Color,Action,English,UK,R,Christopher Lambert,Russell Mulcahy,1000,1852,85,0,7.2,112,110,5900000,16000000,-10100000,1986,8
Howard the Duck,Color,Action,English,USA,PG,Lea Thompson,Willard Huyck,1000,3000,8,0,4.6,81,110,16295774,35000000,-18704226,1986,12
Invaders from Mars,Color,Horror,English,USA,PG,Louise Fletcher,Tobe Hooper,425,1661,365,902,5.5,52,100,4884663,12000000,-7115337,1986,9
Jason Lives: Friday the 13th Part VI,Color,Horror,English,USA,R,Tony Goldwyn,Tom McLoughlin,956,1862,41,0,5.9,158,86,19472057,3000000,16472057,1986,6
Legal Eagles,Color,Comedy,English,USA,PG,Brian Dennehy,Ivan Reitman,954,2179,425,263,5.9,16,116,49851591,40000000,9851591,1986,8
Little Shop of Horrors,Color,Comedy,English,USA,PG-13,Bill Murray,Frank Oz,13000,15308,0,0,6.9,63,102,38747385,25000000,13747385,1986,3
Peggy Sue Got Married,Color,Comedy,English,USA,PG-13,Nicolas Cage,Francis Ford Coppola,12000,14672,0,0,6.3,44,103,41382841,18000000,23382841,1986,11
Platoon,Color,Drama,English,UK,R,Johnny Depp,Oliver Stone,40000,42028,0,9000,8.1,120,120,137963328,6000000,131963328,1986,5
River's Edge,Black and White,Crime,English,USA,R,Keanu Reeves,Tim Hunter,18000,19649,28,0,7.1,45,99,4600000,1900000,2700000,1986,8
Shanghai Surprise,Color,Adventure,English,UK,PG-13,Victor Wong,Jim Goddard,400,805,3,154,3.0,21,97,2315683,17000000,-14684317,1986,11
She's Gotta Have It,Black and White,Comedy,English,USA,R,S. Epatha Merkerson,Spike Lee,539,708,0,406,6.5,26,88,7137502,175000,6962502,1986,1
Stand by Me,Color,Adventure,English,USA,R,Marshall Bell,Rob Reiner,217,644,0,24000,8.1,99,89,52287414,8000000,44287414,1986,4
Star Trek IV: The Voyage Home,Color,Adventure,English,USA,PG,Leonard Nimoy,Leonard Nimoy,12000,15449,12000,0,7.3,106,119,109713132,25000000,84713132,1986,8
The Clan of the Cave Bear,Color,Adventure,English,USA,R,Curtis Armstrong,Michael Chapman,876,1351,70,843,5.3,21,98,1953732,15000000,-13046268,1986,4
The Color of Money,Color,Drama,English,USA,R,Tom Cruise,Martin Scorsese,10000,11895,17000,0,7.0,59,119,52293982,13800000,38493982,1986,11
The Golden Child,Color,Action,English,USA,PG-13,Victor Wong,Michael Ritchie,400,1044,23,0,5.9,29,94,79817937,25000000,54817937,1986,5
The Texas Chainsaw Massacre 2,Color,Comedy,English,USA,X,Bill Johnson,Tobe Hooper,237,302,365,0,5.5,159,101,8025872,4700000,3325872,1986,12
The Wraith,Color,Action,English,USA,R,Clint Howard,Mike Marvin,1000,2319,28,0,5.9,70,93,3500000,2700000,800000,1986,12
Top Gun,Color,Action,English,USA,PG,Tom Cruise,Tony Scott,10000,13069,12000,19000,6.9,173,110,176781728,15000000,161781728,1986,10
Witchboard,Color,Horror,English,UK,R,Kathleen Wilhoite,Kevin Tenney,265,901,85,0,5.7,65,98,7369373,2000000,5369373,1986,9
3 Men and a Baby,Color,Comedy,English,USA,PG,Tom Selleck,Leonard Nimoy,19000,21499,12000,3000,5.9,21,102,167780960,11000000,156780960,1987,7
A Nightmare on Elm Street 3: Dream Warriors,Color,Action,English,USA,X,John Saxon,Chuck Russell,506,1584,55,0,6.6,131,88,44793200,4500000,40293200,1987,8
American Ninja 2: The Confrontation,Color,Action,English,USA,R,Michael Dudikoff,Sam Firstenberg,615,872,44,583,4.7,40,90,4000000,350000,3650000,1987,6
Beverly Hills Cop II,Color,Action,English,USA,R,Dean Stockwell,Tony Scott,936,4121,12000,0,6.4,50,100,153665036,28000000,125665036,1987,7
Creepshow 2,Color,Comedy,English,USA,R,George Kennedy,Michael Gornick,3000,3617,10,1000,6.0,95,85,14000000,3500000,10500000,1987,8
Cry Freedom,Color,Biography,English,UK,PG,Denzel Washington,Richard Attenborough,18000,18855,0,0,7.5,17,147,5899797,29000000,-23100203,1987,8
Evil Dead II,Color,Comedy,English,USA,X,Ted Raimi,Sam Raimi,634,1347,0,0,7.8,252,37,5923044,3600000,2323044,1987,4
Fatal Attraction,Color,Drama,English,USA,R,Fred Gwynne,Adrian Lyne,886,1639,213,3000,6.9,94,119,156645693,14000000,142645693,1987,8
From a Whisper to a Scream,Color,Action,English,USA,R,Terry Kiser,Jeff Burr,448,1329,155,241,5.9,57,92,1400000,1100000,300000,1987,4
"Good Morning, Vietnam",Color,Biography,English,USA,R,Robin Williams,Barry Levinson,49000,50141,272,0,7.3,62,121,123922370,13000000,110922370,1987,3
Hellraiser,Color,Fantasy,English,UK,R,Andrew Robinson,Clive Barker,266,673,385,0,7.0,203,86,14564027,1000000,13564027,1987,4
Hollywood Shuffle,Color,Comedy,English,USA,R,Robert Townsend,Robert Townsend,467,1431,467,471,7.0,21,81,5228617,100000,5128617,1987,4
Ishtar,Color,Action,English,USA,PG-13,Carol Kane,Elaine May,636,3374,124,754,4.2,49,107,14375181,51000000,-36624819,1987,3
Jaws: The Revenge,Color,Adventure,English,USA,PG-13,Judith Barsi,Joseph Sargent,912,2355,114,0,2.8,80,92,20763013,23000000,-2236987,1987,2
La Bamba,Color,Biography,English,USA,PG-13,Esai Morales,Luis Valdez,699,936,7,0,6.8,18,108,54215416,6500000,47715416,1987,11
Malone,Color,Action,English,USA,R,Cliff Robertson,Harley Cokeliss,754,1891,4,208,5.6,27,92,3060858,10000000,-6939142,1987,2
Maurice,Color,Drama,English,UK,R,Rupert Graves,James Ivory,443,1269,133,963,7.8,29,140,3130592,2600000,530592,1987,2
Predator,Color,Action,English,USA,R,Shane Black,John McTiernan,1000,4223,323,13000,7.8,217,107,59735548,15000000,44735548,1987,9
Prison,Color,Crime,English,USA,R,Viggo Mortensen,Renny Harlin,10000,11083,212,314,5.9,68,102,354704,1300000,-945296,1987,4
Radio Days,Color,Comedy,English,USA,PG,Mike Starr,Woody Allen,854,1653,11000,0,7.6,64,88,14792779,16000000,-1207221,1987,7
Spaceballs,Color,Adventure,English,USA,PG,Joan Rivers,Mel Brooks,1000,2936,0,13000,7.1,103,96,38119483,22700000,15419483,1987,11
Superman IV: The Quest for Peace,Color,Action,English,UK,PG,Jim Broadbent,Sidney J. Furie,1000,3007,22,1000,3.6,94,134,15681020,17000000,-1318980,1987,8
Teen Wolf Too,Color,Comedy,English,USA,PG,John Astin,Christopher Leitch,641,1389,4,491,3.2,29,95,7888703,3000000,4888703,1987,7
The Barbarians,Color,Adventure,English,USA,R,Michael Berryman,Ruggero Deodato,721,1700,101,550,4.8,15,87,800000,4000000,-3200000,1987,12
The Last Emperor,Color,Biography,English,China,PG-13,Cary-Hiroyuki Tagawa,Bernardo Bertolucci,1000,2451,973,0,7.8,75,219,43984230,23000000,20984230,1987,11
The Living Daylights,Color,Action,English,UK,PG,Joe Don Baker,John Glen,387,1233,46,0,6.7,105,130,51185897,30000000,21185897,1987,6
The Princess Bride,Color,Adventure,English,USA,PG,Robin Wright,Rob Reiner,18000,20060,0,33000,8.1,185,98,30857814,16000000,14857814,1987,7
The Running Man,Color,Action,English,USA,R,Yaphet Kotto,Paul Michael Glaser,581,2373,343,0,6.6,120,101,38122105,27000000,11122105,1987,3
The Untouchables,Color,Crime,English,USA,R,Robert De Niro,Brian De Palma,22000,22767,0,0,7.9,123,119,76270454,25000000,51270454,1987,10
Wall Street,Color,Crime,English,USA,R,Hal Holbrook,Oliver Stone,826,1607,0,0,7.4,114,126,43848100,15000000,28848100,1987,4
A Nightmare on Elm Street 4: The Dream Master,Color,Fantasy,English,USA,R,Tuesday Knight,Renny Harlin,130,450,212,0,5.7,102,99,49369900,7000000,42369900,1988,1
Action Jackson,Color,Action,English,USA,R,Bill Duke,Craig R. Baxley,1000,5282,22,978,5.2,35,96,20257000,7000000,13257000,1988,7
Akira,Color,Action,Japanese,Japan,R,Mitsuo Iwata,Katsuhiro Ôtomo,6,28,78,0,8.1,150,124,439162,1100000000,-1099560838,1988,12
Beetlejuice,Color,Comedy,English,USA,PG,Catherine O'Hara,Tim Burton,925,1953,13000,15000,7.5,109,92,73326666,15000000,58326666,1988,10
Big,Color,Comedy,English,USA,PG,Tom Hanks,Penny Marshall,15000,28018,545,0,7.3,99,130,114968774,18000000,96968774,1988,5
Bloodsport,Color,Action,English,USA,R,Bolo Yeung,Newt Arnold,633,1168,15,0,6.8,61,92,11806119,1100000,10706119,1988,11
"Bright Lights, Big City",Color,Drama,English,USA,R,Dianne Wiest,James Bridges,967,3067,21,377,5.6,28,107,16118077,25000000,-8881923,1988,5
Child's Play,Color,Fantasy,English,USA,R,Catherine Hicks,Tom Holland,311,760,85,0,6.5,142,87,33244684,9000000,24244684,1988,6
Crocodile Dundee II,Color,Action,English,Australia,PG,Paul Hogan,John Cornell,442,717,5,489,5.5,32,108,109306210,15800000,93506210,1988,5
Dangerous Liaisons,Color,Drama,English,USA,R,Keanu Reeves,Stephen Frears,18000,35501,350,0,7.7,51,119,34700000,14000000,20700000,1988,1
Die Hard,Color,Action,English,USA,R,Alan Rickman,John McTiernan,25000,40585,323,25000,8.2,233,131,81350242,28000000,53350242,1988,8
Friday the 13th Part VII: The New Blood,Color,Horror,English,USA,R,Kane Hodder,John Carl Buechler,935,1855,152,0,5.3,110,88,19170001,2800000,16370001,1988,6
Halloween 4: The Return of Michael Myers,Color,Horror,English,USA,R,Donald Pleasence,Dwight H. Little,742,1136,27,0,5.9,144,88,17768000,5000000,12768000,1988,4
Lady in White,Color,Fantasy,English,USA,R,Alex Rocco,Frank LaLoggia,968,2545,7,0,6.7,130,118,1705139,4700000,-2994861,1988,5
Midnight Run,Color,Action,English,USA,R,Robert De Niro,Martin Brest,22000,23866,102,0,7.6,77,126,38413606,30000000,8413606,1988,7
My Stepmother Is an Alien,Color,Comedy,English,USA,PG-13,Jon Lovitz,Richard Benjamin,11000,14677,121,818,5.2,15,105,13854000,20000000,-6146000,1988,3
Mystic Pizza,Color,Comedy,English,USA,R,Julia Roberts,Donald Petrie,8000,10430,80,0,6.2,34,104,12793213,6000000,6793213,1988,6
Phantasm II,Color,Action,English,USA,R,Angus Scrimm,Don Coscarelli,674,1395,152,812,6.5,81,97,7282851,3000000,4282851,1988,3
Poltergeist III,Color,Horror,English,USA,PG-13,Tom Skerritt,Gary Sherman,1000,3827,17,616,4.5,66,98,14114488,10500000,3614488,1988,11
Rain Man,Color,Drama,English,USA,R,Tom Cruise,Barry Levinson,10000,12285,272,12000,8.0,100,133,172825435,25000000,147825435,1988,7
Rambo III,Color,Action,English,USA,R,Sylvester Stallone,Peter MacDonald,13000,14574,10,2000,5.7,84,87,53715611,63000000,-9284389,1988,11
School Daze,Color,Comedy,English,USA,R,Tisha Campbell-Martin,Spike Lee,413,1284,0,624,5.8,22,121,14545844,6500000,8045844,1988,11
Scrooged,Color,Comedy,English,USA,PG-13,Bill Murray,Richard Donner,13000,18734,503,11000,7.0,88,101,60328558,32000000,28328558,1988,11
Talk Radio,Color,Drama,English,USA,R,Michael Wincott,Oliver Stone,721,1966,0,816,7.3,40,110,3468572,4000000,-531428,1988,3
The Land Before Time,Color,Adventure,English,USA,G,Judith Barsi,Don Bluth,912,1833,383,5000,7.3,24,69,48092846,12500000,35592846,1988,2
The Last Temptation of Christ,Color,Drama,English,USA,R,Irvin Kershner,Martin Scorsese,883,1934,17000,0,7.6,114,164,8373585,7000000,1373585,1988,4
They Live,Color,Horror,English,USA,R,Meg Foster,John Carpenter,355,837,0,27000,7.3,172,93,13008928,4000000,9008928,1988,10
Twins,Color,Comedy,English,USA,PG,Kelly Preston,Ivan Reitman,742,2151,425,0,6.0,27,107,111936400,15000000,96936400,1988,12
Young Guns,Color,Action,English,USA,R,Jack Palance,Christopher Cain,549,1747,58,0,6.8,50,107,44726644,13000000,31726644,1988,6
A Nightmare on Elm Street 5: The Dream Child,Black and White,Fantasy,English,USA,X,Lisa Wilcox,Stephen Hopkins,321,584,81,1000,5.1,88,89,22168359,8000000,14168359,1989,7
Back to the Future Part II,Color,Adventure,English,USA,PG,Lea Thompson,Robert Zemeckis,1000,3660,0,12000,7.8,125,108,118500000,40000000,78500000,1989,7
Batman,Color,Action,English,USA,PG-13,Michael Gough,Tim Burton,920,2725,13000,12000,7.6,186,126,251188924,35000000,216188924,1989,4
Bill & Ted's Excellent Adventure,Color,Adventure,English,USA,PG,Keanu Reeves,Stephen Herek,18000,20795,65,0,6.9,81,90,40485039,10000000,30485039,1989,3
Black Rain,Color,Action,English,USA,R,Stephen Root,Ridley Scott,939,1748,0,0,6.6,63,125,45645204,30000000,15645204,1989,10
Born on the Fourth of July,Color,Biography,English,USA,R,Tom Cruise,Oliver Stone,10000,12098,0,4000,7.2,72,145,70001698,14000000,56001698,1989,2
Dead Poets Society,Color,Comedy,English,USA,PG,Robin Williams,Peter Weir,49000,51609,608,23000,8.0,96,128,95860116,16400000,79460116,1989,1
Do the Right Thing,Color,Drama,English,USA,R,Ruby Dee,Spike Lee,782,2892,0,0,7.9,103,120,27545445,6500000,21045445,1989,10
Driving Miss Daisy,Color,Comedy,English,USA,PG,Morgan Freeman,Bruce Beresford,11000,12619,78,3000,7.4,61,99,106593296,7500000,99093296,1989,3
Friday the 13th Part VIII: Jason Takes Manhattan,Color,Adventure,English,USA,R,Kane Hodder,Rob Hedden,935,1327,6,1000,4.5,129,100,14343976,5000000,9343976,1989,3
Glory,Color,Drama,English,USA,R,Denzel Washington,Edward Zwick,18000,32930,380,0,7.9,60,122,26830000,18000000,8830000,1989,5
Halloween 5,Color,Horror,English,USA,X,Donald Pleasence,Dominique Othenin-Girard,742,1308,2,926,5.2,137,96,11642254,3000000,8642254,1989,1
Henry V,Color,Action,English,UK,PG-13,Brian Blessed,Kenneth Branagh,591,1341,0,0,7.7,46,137,10161099,9000000,1161099,1989,8
Indiana Jones and the Last Crusade,Color,Action,English,USA,PG-13,Harrison Ford,Steven Spielberg,11000,12884,14000,0,8.3,149,127,197171806,48000000,149171806,1989,5
Licence to Kill,Color,Action,English,UK,PG-13,Robert Davi,John Glen,683,2371,46,0,6.6,117,133,34667015,32000000,2667015,1989,11
Major League,Color,Comedy,English,USA,R,Corbin Bernsen,David S. Ward,1000,3435,42,0,7.2,57,107,49797148,11000000,38797148,1989,3
New York Stories,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,11000,12685,11000,877,6.4,42,124,10763469,15000000,-4236531,1989,7
Pet Sematary,Color,Fantasy,English,USA,R,Miko Hughes,Mary Lambert,969,2987,52,0,6.6,98,103,57469179,11500000,45969179,1989,6
Road House,Color,Action,English,USA,R,Ben Gazzara,Rowdy Herrington,623,2484,9,0,6.5,83,114,30050028,17000000,13050028,1989,9
Roger & Me,Color,Documentary,English,USA,R,Michael Moore,Michael Moore,909,1048,909,667,7.5,40,91,6706368,160000,6546368,1989,10
Sea of Love,Color,Crime,English,USA,R,Al Pacino,Harold Becker,14000,15914,17,0,6.8,43,113,58571513,19000000,39571513,1989,10
"Sex, Lies, and Videotape",Color,Drama,English,USA,R,Peter Gallagher,Steven Soderbergh,828,1431,0,2000,7.2,58,100,24741700,1200000,23541700,1989,9
Star Trek V: The Final Frontier,Color,Action,English,USA,PG,Leonard Nimoy,William Shatner,12000,14710,0,0,5.4,98,107,55210049,27800000,27410049,1989,2
Tango & Cash,Color,Action,English,USA,R,Sylvester Stallone,Andrey Konchalovskiy,13000,14432,96,0,6.3,45,97,63408614,55000000,8408614,1989,4
The Abyss,Color,Adventure,English,USA,PG-13,Michael Biehn,James Cameron,2000,4074,0,0,7.6,82,171,54222000,69500000,-15278000,1989,3
The Blood of Heroes,Color,Action,English,Australia,R,Delroy Lindo,David Webb Peoples,848,1526,73,999,6.5,21,90,882290,10000000,-9117710,1989,1
The Toxic Avenger Part II,Color,Action,English,USA,R,Phoebe Legere,Michael Herz,40,99,6,321,5.1,49,96,792966,2300000,-1507034,1989,10
Troop Beverly Hills,Color,Adventure,English,USA,PG,Craig T. Nelson,Jeff Kanew,723,2368,6,0,5.5,11,105,8508843,18000000,-9491157,1989,3
UHF,Color,Comedy,English,USA,PG-13,Fran Drescher,Jay Levey,859,3942,3,0,7.0,59,150,6157157,5000000,1157157,1989,3
Warlock,Color,Action,English,USA,R,Julian Sands,Steve Miner,687,1990,49,0,6.2,31,103,9094451,7000000,2094451,1989,7
We're No Angels,Color,Comedy,English,USA,PG-13,Robert De Niro,Neil Jordan,22000,24887,277,855,6.0,20,106,10555348,20000000,-9444652,1989,7
When Harry Met Sally...,Color,Comedy,English,USA,R,Bruno Kirby,Rob Reiner,227,485,0,0,7.6,114,89,92823600,16000000,76823600,1989,5
Arachnophobia,Color,Comedy,English,USA,PG-13,Julian Sands,Frank Marshall,687,1440,155,0,6.3,74,103,53133888,31000000,22133888,1990,7
Back to the Future Part III,Color,Adventure,English,USA,PG,Lea Thompson,Robert Zemeckis,1000,3986,0,0,7.4,111,118,87666629,40000000,47666629,1990,4
Child's Play 2,Color,Fantasy,English,USA,R,Jenny Agutter,John Lafia,659,2646,5,0,5.7,59,72,28501605,13000000,15501605,1990,8
Dances with Wolves,Color,Adventure,English,USA,PG-13,Mary McDonnell,Kevin Costner,933,2398,0,0,8.0,92,236,184208848,22000000,162208848,1990,9
Days of Thunder,Color,Action,English,USA,PG-13,Tom Cruise,Tony Scott,10000,14006,12000,0,5.9,60,107,82670733,60000000,22670733,1990,2
Dick Tracy,Color,Action,English,USA,PG,Charlie Korsmo,Warren Beatty,678,2096,631,2000,6.1,72,105,103738726,100000000,3738726,1990,12
Die Hard 2,Color,Action,English,USA,R,Bruce Willis,Renny Harlin,13000,16595,212,0,7.1,142,124,117541000,70000000,47541000,1990,10
Edward Scissorhands,Color,Fantasy,English,USA,PG-13,Johnny Depp,Tim Burton,40000,42330,13000,16000,7.9,111,105,56362352,20000000,36362352,1990,12
Flatliners,Color,Drama,English,USA,R,Julia Roberts,Joel Schumacher,8000,10493,541,0,6.6,49,115,61490000,26000000,35490000,1990,12
Ghost,Color,Drama,English,USA,PG-13,Demi Moore,Jerry Zucker,2000,3100,109,0,7.0,77,127,217631306,22000000,195631306,1990,1
Goodfellas,Color,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,24783,17000,25000,8.7,192,146,46836394,25000000,21836394,1990,7
Gremlins 2: The New Batch,Color,Comedy,English,USA,PG-13,Christopher Lee,Joe Dante,16000,19610,287,0,6.3,105,106,41482207,50000000,-8517793,1990,6
Home Alone,Color,Comedy,English,USA,PG,Macaulay Culkin,Chris Columbus,3000,7521,0,20000,7.5,102,103,285761243,18000000,267761243,1990,12
Kindergarten Cop,Color,Action,English,USA,PG-13,Richard Tyson,Ivan Reitman,743,2403,425,0,6.0,46,111,91457688,26000000,65457688,1990,12
Marilyn Hotchkiss' Ballroom Dancing and Charm School,Color,Comedy,English,USA,Not Rated,William Hurt,Randall Miller,882,1967,19,16,7.1,1,34,333658,34000,299658,1990,1
Metropolitan,Color,Comedy,English,USA,PG-13,Chris Eigeman,Whit Stillman,88,173,89,865,7.5,71,98,2938208,225000,2713208,1990,2
Mo' Better Blues,Color,Drama,English,USA,R,Denzel Washington,Spike Lee,18000,19065,0,720,6.5,23,129,16153600,10000000,6153600,1990,3
Predator 2,Color,Action,English,USA,R,Adam Baldwin,Stephen Hopkins,2000,4722,81,0,6.2,119,103,30669413,35000000,-4330587,1990,7
Pretty Woman,Color,Comedy,English,USA,R,Julia Roberts,Garry Marshall,8000,11135,0,11000,6.9,82,125,178406268,14000000,164406268,1990,8
Quigley Down Under,Color,Action,English,Australia,PG-13,Alan Rickman,Simon Wincer,25000,45841,23,0,6.8,20,119,21413105,20000000,1413105,1990,12
Spaced Invaders,Color,Adventure,English,USA,PG,Ariana Richards,Patrick Read Johnson,610,1441,32,710,5.3,16,100,15369573,3000000,12369573,1990,5
The Adventures of Ford Fairlane,Color,Action,English,USA,R,Lauren Holly,Renny Harlin,879,2795,212,2000,6.3,48,104,21413502,40000000,-18586498,1990,10
The Godfather: Part III,Color,Crime,English,USA,R,Al Pacino,Francis Ford Coppola,14000,16949,0,0,7.6,110,170,66676062,54000000,12676062,1990,5
The Hunt for Red October,Color,Action,English,USA,PG,Scott Glenn,John McTiernan,826,2575,323,0,7.6,104,135,122012643,30000000,92012643,1990,4
Total Recall,Color,Action,English,USA,R,Ronny Cox,Paul Verhoeven,605,1441,719,0,7.5,196,113,119412921,65000000,54412921,1990,10
Tremors,Color,Comedy,English,USA,PG-13,Reba McEntire,Ron Underwood,651,3119,31,11000,7.1,132,96,16667084,11000000,5667084,1990,5
